20	1	1	0.0316064
20	15	1	0.0317833
20	20	1	0.0314156
24	1	1	0.519963
24	15	1	0.505854
24	24	1	0.502862
28	1	1	8.5856
28	15	1	8.0684
28	28	1	7.98729
20	1	2	0.0192405
20	15	2	0.0192544
20	20	2	0.021126
24	1	2	0.299527
24	15	2	0.295349
24	24	2	0.301344
28	1	2	5.02839
28	15	2	4.72771
28	28	2	4.68875
20	1	4	0.0170028
20	15	4	0.016149
20	20	4	0.0140427
24	1	4	0.244927
24	15	4	0.198194
24	24	4	0.196143
28	1	4	3.11066
28	15	4	2.96113
28	28	4	2.96371
20	1	8	0.0110242
20	15	8	0.0110555
20	20	8	0.0111537
24	1	8	0.172411
24	15	8	0.150653
24	24	8	0.164868
28	1	8	2.39112
28	15	8	2.4754
28	28	8	2.30513
